order_id,cust_id,category,amount,order_date
72,116,Services,$296.09,2024-03-19
73,107,Hardware,$322.04,2024-03-21
74,101,Training,$359.63,2024-03-23
75,104,Hardware,$392.47,2024-03-23
76,113,Software,$114.75,2024-03-23
77,107,Hardware,$422.86,2024-03-24
78,107,Hardware,$358.73,2024-03-24
79,101,Services,$323.22,2024-03-24
80,116,Software,$235.52,2024-03-25
81,114,Hardware,$289.84,2024-03-26
82,105,Training,$245.66,2024-03-27
83,111,Training,$306.81,2024-03-29
84,112,Services,$170.17,2024-03-29
85,116,Hardware,$311.50,2024-03-30
86,102,Training,$263.21,2024-03-31
87,106,Training,$316.90,2024-03-31
88,109,Hardware,$320.43,2024-04-01
89,114,Software,$472.31,2024-04-03
90,110,Training,$251.30,2024-04-03
91,109,Training,$340.59,2024-04-05
92,110,Training,$457.13,2024-04-05
93,105,Software,$511.92,2024-04-05
94,106,Services,$72.55,2024-04-06
95,101,Services,$571.62,2024-04-07
96,101,Hardware,$328.30,2024-04-08
97,112,Hardware,$402.36,2024-04-08
98,108,Software,$250.00,2024-04-08
99,116,Training,$128.13,2024-04-08
100,109,Services,$337.00,2024-04-09
101,111,Software,$369.72,2024-04-10
102,102,Hardware,$135.91,2024-04-10
103,114,Hardware,$203.61,2024-04-11
104,112,Services,$264.87,2024-04-12
105,113,Software,$202.53,2024-04-12
106,108,Training,$406.95,2024-04-12
107,105,Hardware,$321.36,2024-04-15
108,116,Training,$91.10,2024-04-16
109,110,Training,$385.80,2024-04-16
110,113,Services,$385.26,2024-04-17
111,112,Training,$345.54,2024-04-18
112,107,Hardware,$261.91,2024-04-18
113,101,Training,$198.96,2024-04-18
114,116,Training,$258.63,2024-04-20
115,116,Software,$239.19,2024-04-20
116,109,Services,$170.47,2024-04-22
117,102,Training,$442.05,2024-04-22
118,104,Training,$357.11,2024-04-23
119,109,Software,$348.28,2024-04-23
120,108,Software,$98.72,2024-04-26
121,115,Software,$350.85,2024-04-27
122,108,Training,$313.12,2024-04-29
123,115,Training,$221.67,2024-05-01
124,116,Training,$310.76,2024-05-03
125,105,Services,$402.88,2024-05-04
126,110,Services,$470.27,2024-05-04
127,106,Training,$362.45,2024-05-07
128,114,Training,$372.37,2024-05-09
129,103,Hardware,$275.23,2024-05-09
130,109,Hardware,$407.77,2024-05-09
131,106,Hardware,$287.54,2024-05-11
132,105,Services,$275.46,2024-05-11
133,111,Software,$141.68,2024-05-12
134,101,Training,$489.93,2024-05-13
135,110,Hardware,$198.06,2024-05-13
136,110,Software,$410.83,2024-05-13
137,113,Hardware,$353.95,2024-05-14
138,107,Software,$84.53,2024-05-15
139,115,Hardware,$285.32,2024-05-15
140,113,Services,$270.53,2024-05-16
141,112,Software,$492.18,2024-05-16
142,116,Software,$435.96,2024-05-19
143,115,Software,$372.14,2024-05-19
144,114,Training,$250.97,2024-05-20
145,104,Software,$467.41,2024-05-21
146,110,Hardware,$337.07,2024-05-21
147,106,Training,$390.14,2024-05-22
148,104,Software,$274.72,2024-05-24
149,114,Hardware,$300.38,2024-05-24
150,103,Software,$123.75,2024-05-24
151,108,Hardware,$310.69,2024-05-25
152,106,Services,$380.12,2024-05-26
153,111,Hardware,$425.17,2024-05-27
154,115,Services,$457.23,2024-05-28
155,101,Services,$681.25,2024-05-29
156,108,Software,$605.06,2024-05-29
157,105,Software,$299.50,2024-05-30
158,105,Hardware,$42.24,2024-05-31
159,106,Training,$354.67,2024-05-31
160,102,Training,$242.18,2024-05-31
161,114,Training,$486.93,2024-06-01
162,107,Services,$305.01,2024-06-01
163,105,Training,$300.27,2024-06-01
164,103,Training,$263.37,2024-06-01
165,113,Services,$340.38,2024-06-02
166,101,Hardware,$251.45,2024-06-05
167,103,Software,$546.83,2024-06-07
168,103,Hardware,$359.23,2024-06-07
169,115,Software,$258.82,2024-06-07
170,115,Software,$260.48,2024-06-09
171,112,Services,$195.82,2024-06-10
172,102,Services,$331.13,2024-06-10
173,102,Software,$500.98,2024-06-11
174,102,Services,$563.49,2024-06-11
175,104,Services,$511.49,2024-06-11
176,101,Software,$418.48,2024-06-12
177,106,Hardware,$558.70,2024-06-13
178,113,Hardware,$342.70,2024-06-13
179,110,Hardware,$63.13,2024-06-13
180,113,Services,$258.12,2024-06-13
181,115,Training,$341.59,2024-06-16
182,112,Software,$259.98,2024-06-18
183,101,Training,$282.80,2024-06-18
184,112,Services,$323.58,2024-06-20
185,113,Hardware,$318.64,2024-06-20
186,101,Hardware,$552.92,2024-06-20
187,102,Hardware,$263.37,2024-06-21
188,109,Services,$219.58,2024-06-23
189,114,Software,$251.80,2024-06-24
190,102,Training,$380.16,2024-06-26
191,114,Software,$364.34,2024-06-26
192,101,Hardware,$430.39,2024-06-26
193,114,Services,$501.34,2024-06-27
194,106,Hardware,$294.03,2024-06-27
195,104,Hardware,$511.54,2024-06-27
196,107,Training,$271.38,2024-06-28
197,111,Training,$253.52,2024-06-28
198,102,Hardware,$511.47,2024-06-29
199,116,Services,$203.55,2024-06-30
200,109,Services,$578.89,2024-06-30
